name	station	date	rain_mm
Oslo - Blindern	SN18700	05.04.1938	0
Oslo - Blindern	SN18700	06.04.1938	0
Oslo - Blindern	SN18700	07.04.1938	0
Oslo - Blindern	SN18700	08.04.1938	0
Oslo - Blindern	SN18700	09.04.1938	0
Oslo - Blindern	SN18700	10.04.1938	0
Oslo - Blindern	SN18700	11.04.1938	0
Oslo - Blindern	SN18700	12.04.1938	0
Oslo - Blindern	SN18700	13.04.1938	0
Oslo - Blindern	SN18700	14.04.1938	0
Oslo - Blindern	SN18700	15.04.1938	1,2
Oslo - Blindern	SN18700	16.04.1938	0,4
Oslo - Blindern	SN18700	17.04.1938	2,5
Oslo - Blindern	SN18700	18.04.1938	0
Oslo - Blindern	SN18700	19.04.1938	0
Oslo - Blindern	SN18700	20.04.1938	0
Oslo - Blindern	SN18700	21.04.1938	0
Oslo - Blindern	SN18700	22.04.1938	0
Oslo - Blindern	SN18700	23.04.1938	0
Oslo - Blindern	SN18700	24.04.1938	0
Oslo - Blindern	SN18700	25.04.1938	0
Oslo - Blindern	SN18700	26.04.1938	0
Oslo - Blindern	SN18700	27.04.1938	0
Oslo - Blindern	SN18700	28.04.1938	0
Oslo - Blindern	SN18700	29.04.1938	1,6
Oslo - Blindern	SN18700	30.04.1938	1,2
Oslo - Blindern	SN18700	01.05.1938	0
Oslo - Blindern	SN18700	02.05.1938	0
Oslo - Blindern	SN18700	03.05.1938	0
Oslo - Blindern	SN18700	04.05.1938	0
Oslo - Blindern	SN18700	05.05.1938	0
Oslo - Blindern	SN18700	06.05.1938	0
Oslo - Blindern	SN18700	07.05.1938	2,3
Oslo - Blindern	SN18700	08.05.1938	0,4
Oslo - Blindern	SN18700	09.05.1938	0
Oslo - Blindern	SN18700	10.05.1938	9
Oslo - Blindern	SN18700	11.05.1938	0,5
Oslo - Blindern	SN18700	12.05.1938	0
Oslo - Blindern	SN18700	13.05.1938	0,5
Oslo - Blindern	SN18700	14.05.1938	0
Oslo - Blindern	SN18700	15.05.1938	0,1
Oslo - Blindern	SN18700	16.05.1938	0,2
Oslo - Blindern	SN18700	17.05.1938	6,5
Oslo - Blindern	SN18700	18.05.1938	0
Oslo - Blindern	SN18700	19.05.1938	0
Oslo - Blindern	SN18700	20.05.1938	0
Oslo - Blindern	SN18700	21.05.1938	0
Oslo - Blindern	SN18700	22.05.1938	0
Oslo - Blindern	SN18700	23.05.1938	0
Oslo - Blindern	SN18700	24.05.1938	0
Oslo - Blindern	SN18700	25.05.1938	0
Oslo - Blindern	SN18700	26.05.1938	0,2
Oslo - Blindern	SN18700	27.05.1938	4,1
Oslo - Blindern	SN18700	28.05.1938	0
Oslo - Blindern	SN18700	29.05.1938	0
Oslo - Blindern	SN18700	30.05.1938	3,7
Oslo - Blindern	SN18700	31.05.1938	3,5
Oslo - Blindern	SN18700	01.06.1938	0,8
Oslo - Blindern	SN18700	02.06.1938	5,9
Oslo - Blindern	SN18700	03.06.1938	4,2
Oslo - Blindern	SN18700	04.06.1938	1,6
Oslo - Blindern	SN18700	05.06.1938	4,6
Oslo - Blindern	SN18700	06.06.1938	0
Oslo - Blindern	SN18700	07.06.1938	0,1
Oslo - Blindern	SN18700	08.06.1938	3,4
Oslo - Blindern	SN18700	09.06.1938	4,6
Oslo - Blindern	SN18700	10.06.1938	0
Oslo - Blindern	SN18700	11.06.1938	0,3
Oslo - Blindern	SN18700	12.06.1938	0,1
Oslo - Blindern	SN18700	13.06.1938	0,1
Oslo - Blindern	SN18700	14.06.1938	0
Oslo - Blindern	SN18700	15.06.1938	0,2
Oslo - Blindern	SN18700	16.06.1938	0
Oslo - Blindern	SN18700	17.06.1938	0
Oslo - Blindern	SN18700	18.06.1938	0
Oslo - Blindern	SN18700	19.06.1938	0
Oslo - Blindern	SN18700	20.06.1938	0,9
Oslo - Blindern	SN18700	21.06.1938	0
Oslo - Blindern	SN18700	22.06.1938	0
Oslo - Blindern	SN18700	23.06.1938	0
Oslo - Blindern	SN18700	24.06.1938	0
Oslo - Blindern	SN18700	25.06.1938	0
Oslo - Blindern	SN18700	26.06.1938	17,9
Oslo - Blindern	SN18700	27.06.1938	0
Oslo - Blindern	SN18700	28.06.1938	19
Oslo - Blindern	SN18700	29.06.1938	5,4
Oslo - Blindern	SN18700	30.06.1938	1
Oslo - Blindern	SN18700	01.07.1938	0
Oslo - Blindern	SN18700	02.07.1938	0,4
Oslo - Blindern	SN18700	03.07.1938	0
Oslo - Blindern	SN18700	04.07.1938	0
Oslo - Blindern	SN18700	05.07.1938	0
Oslo - Blindern	SN18700	06.07.1938	7,1
Oslo - Blindern	SN18700	07.07.1938	3
Oslo - Blindern	SN18700	08.07.1938	0
Oslo - Blindern	SN18700	09.07.1938	7,3
Oslo - Blindern	SN18700	10.07.1938	19,8
Oslo - Blindern	SN18700	11.07.1938	0
Oslo - Blindern	SN18700	12.07.1938	1,7
Oslo - Blindern	SN18700	13.07.1938	1,9
Oslo - Blindern	SN18700	14.07.1938	2,7
Oslo - Blindern	SN18700	15.07.1938	0
Oslo - Blindern	SN18700	16.07.1938	0
Oslo - Blindern	SN18700	17.07.1938	0
Oslo - Blindern	SN18700	18.07.1938	4,9
Oslo - Blindern	SN18700	19.07.1938	0
Oslo - Blindern	SN18700	20.07.1938	12,1
Oslo - Blindern	SN18700	21.07.1938	0
Oslo - Blindern	SN18700	22.07.1938	1,2
Oslo - Blindern	SN18700	23.07.1938	0
Oslo - Blindern	SN18700	24.07.1938	0,7
Oslo - Blindern	SN18700	25.07.1938	0
Oslo - Blindern	SN18700	26.07.1938	0,8
Oslo - Blindern	SN18700	27.07.1938	0,2
Oslo - Blindern	SN18700	28.07.1938	9,1
Oslo - Blindern	SN18700	29.07.1938	0
Oslo - Blindern	SN18700	30.07.1938	0
Oslo - Blindern	SN18700	31.07.1938	0
Oslo - Blindern	SN18700	01.08.1938	0
Oslo - Blindern	SN18700	02.08.1938	0
Oslo - Blindern	SN18700	03.08.1938	0
Oslo - Blindern	SN18700	04.08.1938	0
Oslo - Blindern	SN18700	05.08.1938	0
Oslo - Blindern	SN18700	06.08.1938	0
Oslo - Blindern	SN18700	07.08.1938	0
Oslo - Blindern	SN18700	08.08.1938	0
Oslo - Blindern	SN18700	09.08.1938	0
Oslo - Blindern	SN18700	10.08.1938	0
Oslo - Blindern	SN18700	11.08.1938	6,5
Oslo - Blindern	SN18700	12.08.1938	0
Oslo - Blindern	SN18700	13.08.1938	0
Oslo - Blindern	SN18700	14.08.1938	0
Oslo - Blindern	SN18700	15.08.1938	0,7
Oslo - Blindern	SN18700	16.08.1938	4,1
Oslo - Blindern	SN18700	17.08.1938	6,4
Oslo - Blindern	SN18700	18.08.1938	0
Oslo - Blindern	SN18700	19.08.1938	0
Oslo - Blindern	SN18700	20.08.1938	0
Oslo - Blindern	SN18700	21.08.1938	1,3
Oslo - Blindern	SN18700	22.08.1938	10,8
Oslo - Blindern	SN18700	23.08.1938	0
Oslo - Blindern	SN18700	24.08.1938	0
Oslo - Blindern	SN18700	25.08.1938	0
Oslo - Blindern	SN18700	26.08.1938	2,8
Oslo - Blindern	SN18700	27.08.1938	2,9
Oslo - Blindern	SN18700	28.08.1938	11,2
Oslo - Blindern	SN18700	29.08.1938	1,9
Oslo - Blindern	SN18700	30.08.1938	19,5
Oslo - Blindern	SN18700	31.08.1938	0,7
Oslo - Blindern	SN18700	01.09.1938	17,9
Oslo - Blindern	SN18700	02.09.1938	0
Oslo - Blindern	SN18700	03.09.1938	9,4
Oslo - Blindern	SN18700	04.09.1938	2,1
Oslo - Blindern	SN18700	05.09.1938	0,2
Oslo - Blindern	SN18700	06.09.1938	0
Oslo - Blindern	SN18700	07.09.1938	0
Oslo - Blindern	SN18700	08.09.1938	0
Oslo - Blindern	SN18700	09.09.1938	0
Oslo - Blindern	SN18700	10.09.1938	0
Oslo - Blindern	SN18700	11.09.1938	4,2
Oslo - Blindern	SN18700	12.09.1938	0
